,type,precision,recall,f1,rval
0,train,0.8226377512484983,0.6815885548313222,0.7454952041204087,0.7672241759261992
1,valid,0.8560864617532412,0.7381845811282735,0.7927709220410869,0.8082119684179488
2,test,0.8248997113053522,0.6901231526243691,0.7515116046900342,0.7730514969090041
