,type,precision,recall,f1,rval
0,train,0.843227990938787,0.8044860808354497,0.8233965787131393,0.8466994589710057
1,val,0.8433166308607788,0.8091250414572229,0.8258620997364701,0.8492833275381417
2,test2,0.8055388839067456,0.7948678715967833,0.8001628025169614,0.8293787095330776
