,type,precision,recall,f1,rval
0,model_segment,0.8452256609250143,0.766289403605577,0.8038192912761412,0.8245498053776091
1,peak_detection,0.816758505936017,0.7515077856815028,0.782770713953005,0.809880729762439
2,wav2vec_model,0.8700290351930252,0.6913330800317002,0.7704503580562956,0.7781079549177523
